citation_title,year,institution,sub_experiment,parameter_varied,species,strain,sex,tumor_model,model_type,anesthesia,anesthesia_class_simple,oxygen_condition,oxygen_modulated_flag,fixation_method,tissue_type,tissue_class,anatomy_depth,beam_and_field,radiation_type,particle_group,energy,machine_name,beam_type,delivery_mode,pulse_mode,total_dose_Gy,dose_range_Gy,dose_values_Gy,is_fractionated,fractionation_type,fractionation_detail,fractionation_regime,num_fractions,dose_per_fraction_Gy,inter_fraction_interval_days,flash_avg_dose_rate_Gy_s,flash_avg_dose_rate_Gy_s_source,flash_avg_dose_rate_range,flash_inst_dose_rate_Gy_s,flash_inst_dose_rate_Gy_s_source,flash_inst_dose_rate_range,flash_prf_Hz,flash_prf_Hz_source,flash_prf_range,flash_pulse_width_us,flash_pulse_width_us_source,flash_pulse_width_range,flash_num_pulses,flash_num_pulses_source,flash_dose_per_pulse_Gy,flash_dose_per_pulse_Gy_source,flash_irradiation_time_s,flash_irradiation_time_s_source,flash_irradiation_time_range,conv_avg_dose_rate_Gy_s,conv_dose_per_pulse_Gy,proton_spot_dose_rate_Gy_s,proton_field_dose_rate_Gy_s,proton_num_spots,followup_time,sample_size_per_group,endpoints_detected,healthy_tissue_effect,tumor_effect,target_normal_tissue_sparing_binary,effect_direction,dominant_endpoint_type,flash_vs_conv_effect_size_pct,effect_size_endpoint,effect_size_calculability,effect_size_comparator,dmf_endpoint,dmf_calculability,notes_free_text,derived_params,flash_effect_score_derived,is_preprint,peak_toxicity_grade,severe_toxicity,grade3plus_toxicity,endpoint_type,dmf_acute,dmf_fibrosis,energy_MeV,n_mice_acute,n_mice_late,data_notes,conv_inst_dose_rate_Gy_s,conv_pulse_mode,conv_prf_Hz,conv_pulse_width_us,conv_total_dose_Gy,conv_dose_joint_Gy,fractionation_notes,endpoint_class,dmf_type,grade_scale_max,peak_effect_pct,functional_toxicity_severity_flash,functional_toxicity_severity_conv,flash_benefit_magnitude,functional_delta_score,mechanism_flag,flash_threshold_avg_dose_rate_Gy_s,flash_energy_MeV,endpoint_primary,field_cm2,exclusion_note,oxygen_condition_grouped,tumor_effect_grouped,effect_direction_grouped,dmf_type_grouped
Acute Hypoxia Does Not Alter Tumor Sensitivity to FLASH Radiation Therapy,,Lausanne,FLASH_mEERL95_clamped,tumor_model,,Swiss Nude; C57BL/6J,male,mEERL95 head and neck squamous cell carcinoma,,isoflurane,isoflurane,clamped hypoxia,1.0,,flank,tumor,superficial,1.7 cm diameter,,electron,,Oriatron eRT6,electron_beam,multi_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,,original,,100.0,original,,1.8,original,,,,,original,,original,,0.1,,,,,41 days,6-7,tumor_control,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumor_growth_delay,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,mEERL95 clamped (acute hypoxia). FLASH maintains tumor doubling time even under hypoxia. Key mechanistic finding.,,,,,,,single_fraction,(blank),not_applicable,,,0,2,2.0,1.0,hypoxia_resistance,,,,,,hypoxic_anoxic,equivalent_same_as_conv,neutral_no_effect,not_applicable
Acute Hypoxia Does Not Alter Tumor Sensitivity to FLASH Radiation Therapy,,Lausanne,FLASH_SV2_clamped,tumor_model,,C57BL/6J; Swiss Nude,female,SV2 lung adenocarcinoma,,isoflurane,isoflurane,clamped hypoxia,1.0,,flank,tumor,superficial,1.7 cm diameter,,electron,,Oriatron eRT6,electron_beam,multi_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,,original,,100.0,original,,1.8,original,,,,,original,,original,,0.1,,,,,41 days,4-6,tumor_control,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_growth_delay,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,SV2 clamped (acute hypoxia). Hypoxia reduces CONV tumor control; FLASH unaffected. Pattern reproduced across models.,,,,,,,single_fraction,(blank),not_applicable,,,0,2,2.0,1.0,hypoxia_resistance,,,,,,hypoxic_anoxic,equivalent_same_as_conv,neutral_no_effect,not_applicable
Acute Hypoxia Does Not Alter Tumor Sensitivity to FLASH Radiation Therapy,,Lausanne,FLASH_U87_carbogen,tumor_model,,Swiss nude,female,U-87 MG glioblastoma,,isoflurane,isoflurane,carbogen (95% oxygen 5% CO2),1.0,,flank,tumor,superficial,1.7 cm diameter,,electron,,Oriatron eRT6,electron_beam,multi_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,,original,,100.0,original,,1.8,original,,,,,original,,original,,0.1,,,,,41 days,4-7;15,tumor_control; survival; transcriptomics,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_doubling_time,estimated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,U87 carbogen (hyperoxia). Carbogen improves CONV oxygenation slightly; FLASH still iso-effective.,,,,,,,single_fraction,(blank),not_applicable,,,0,1,1.0,1.0,hypoxia_resistance,,,,,,hyperoxic,equivalent_same_as_conv,neutral_no_effect,not_applicable
Acute Hypoxia Does Not Alter Tumor Sensitivity to FLASH Radiation Therapy,,Lausanne,FLASH_U87_clamped,tumor_model,,Swiss nude,female,U-87 MG glioblastoma,,isoflurane,isoflurane,clamped hypoxia,1.0,,flank,tumor,superficial,1.7 cm diameter,,electron,,Oriatron eRT6,electron_beam,multi_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,,original,,100.0,original,,1.8,original,,,,,original,,original,,0.1,,,,,41 days,4-7,tumor_control; survival; transcriptomics,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_doubling_time,estimated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,U87 clamped (acute hypoxia). CONV reduced efficacy; FLASH maintained growth delay equivalent to normoxia. Key hypoxia resistance arm.,,,,,,,single_fraction,(blank),not_applicable,,,0,2,2.0,1.0,hypoxia_resistance,,,,,,hypoxic_anoxic,equivalent_same_as_conv,neutral_no_effect,not_applicable
Acute Hypoxia Does Not Alter Tumor Sensitivity to FLASH Radiation Therapy,,Lausanne,FLASH_SV2_normoxia,tumor_model,,C57BL/6J; Swiss Nude,female,SV2 lung adenocarcinoma,,isoflurane,isoflurane,normoxia,1.0,,flank,tumor,superficial,1.7 cm diameter,,electron,,Oriatron eRT6,electron_beam,multi_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,,original,,100.0,original,,1.8,original,,,,,original,,original,,0.1,,,,,41 days,4-6,tumor_control,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_growth_delay,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,SV2 normoxia. FLASH ≈ CONV tumor growth delay under normal oxygen.,,,,,,,single_fraction,(blank),not_applicable,,,0,0,0.0,0.0,hypoxia_resistance,,,,,,normoxia_ambient,equivalent_same_as_conv,neutral_no_effect,not_applicable
Acute Hypoxia Does Not Alter Tumor Sensitivity to FLASH Radiation Therapy,,Lausanne,FLASH_U87_normoxia,tumor_model,,Swiss nude,male,U-87 MG glioblastoma,,isoflurane,isoflurane,normoxia,1.0,,flank,tumor,superficial,1.7 cm diameter,,electron,,Oriatron eRT6,electron_beam,multi_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,,original,,100.0,original,,1.8,original,,,,,original,,original,,0.1,,,,,41 days,4-7,tumor_control; survival; transcriptomics,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_doubling_time,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,U87 normoxia. FLASH ≈ CONV tumor growth delay under normal oxygen.,,,,,,,single_fraction,(blank),not_applicable,,,0,0,0.0,0.0,hypoxia_resistance,,,,,,normoxia_ambient,equivalent_same_as_conv,neutral_no_effect,not_applicable
Acute Hypoxia Does Not Alter Tumor Sensitivity to FLASH Radiation Therapy,,Lausanne,FLASH_mEERL95_normoxia,tumor_model,,Swiss Nude; C57BL/6J,male,mEERL95 head and neck squamous cell carcinoma,,isoflurane,isoflurane,normoxia,1.0,,flank,tumor,superficial,1.7 cm diameter,,electron,,Oriatron eRT6,electron_beam,multi_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,,original,,100.0,original,,1.8,original,,,,,original,,original,,0.1,,,,,41 days,6-7,tumor_control,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_growth_delay,calculated,FLASH_vs_CONV,,calculated,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,mEERL95 normoxia. FLASH ≈ CONV under normal oxygen.,,,,,,,single_fraction,(blank),not_applicable,,,0,0,0.0,0.0,hypoxia_resistance,,,,,,normoxia_ambient,equivalent_same_as_conv,neutral_no_effect,not_applicable
Anesthesia is a potent determinant of ultra-high dose rate sparing in the murine total abdominal irradiation model,,,FLASH_16Gy_KXthese,single_arm,,C57BL/6J,male,,,ketamine_xylazine,ketamine,room air,0.0,,whole_abdomen,epithelial,deep,3x4 cm,,electron,,IntraOp Mobetron,electron_beam,multi_pulse,,16.0,,,,single_fraction,,single_fraction,1.0,16.0,,420.0,original,,1129943.5,original,,90.0,original,,3.54,original,,4.0,,4.0,original,0.038,original,,0.1,,,,,15 days,10,GI_toxicity; survival,YES,NOT_APPLICABLE,,positive,acute_GI_weight_loss,16.7,median_time_to_25%_weightloss,calculated,FLASH_vs_CONV,weight_loss,estimated,,,,,2.5,,,GI_toxicity,1.3,not_applicable,,,,"16 Gy, K/X anesthesia (pO2~26 mmHg). FLASH 40% survival vs CONV 0% by day 7. Strong FLASH sparing at high dose under low oxygen. DMF=1.3 inferred from survival shift. functional_delta=1.",,,,,,,single_fraction,GI_crypt,inferred_from_survival_shift,,,2,3,1.0,1.0,oxygen_state_sensitive_FLASH,,,,,,normoxia_ambient,NOT_APPLICABLE,other,other
Anesthesia is a potent determinant of ultra-high dose rate sparing in the murine total abdominal irradiation model,,,FLASH_14Gy_KXthese,single_arm,,C57BL/6J,male,,,ketamine_xylazine,ketamine,room air,0.0,,whole_abdomen,epithelial,deep,3x4 cm,,electron,,IntraOp Mobetron,electron_beam,multi_pulse,,14.0,,,,single_fraction,,single_fraction,1.0,14.0,,420.0,original,,988700.6,original,,90.0,original,,3.54,original,,4.0,,3.5,original,0.033,original,,0.1,,,,,14 days,10,GI_toxicity; survival,YES,NOT_APPLICABLE,,FLASH_PROTECTIVE,acute_GI_weight_loss,100.0,animals_remain_below_25%_weightloss,calculated,FLASH_vs_CONV,,not_calculable,,,,,2.0,,,GI_toxicity,1.2,not_applicable,,,,"14 Gy, K/X anesthesia (pO2~26 mmHg). FLASH 80% survival vs CONV 40%. Clear GI sparing under low tissue oxygen. DMF=1.2 inferred from survival shift. functional_delta=1.",,,,,,,single_fraction,GI_crypt,inferred_from_survival_shift,,,1,2,1.0,1.0,oxygen_state_sensitive_FLASH,,,,,,normoxia_ambient,NOT_APPLICABLE,flash_protective,other
Anesthesia is a potent determinant of ultra-high dose rate sparing in the murine total abdominal irradiation model,,,FLASH_14Gy_ISO,single_arm,,C57BL/6J,male,,,isofluorane,isoflurane,room air,0.0,,whole_abdomen,epithelial,deep,3x4 cm,,electron,,IntraOp Mobetron,electron_beam,multi_pulse,,14.0,,,,single_fraction,,single_fraction,1.0,14.0,,420.0,original,,1129032.3,original,,90.0,original,,3.1,original,,4.0,,3.5,original,0.033,original,,0.1,,,,,14 days,10,GI_toxicity; survival,NO,NOT_APPLICABLE,,NO_FLASH_PROTECTION,acute_GI_weight_loss,0.0,median_time_to_25%_weightloss,calculated,FLASH_vs_CONV,,not_calculable,,,,,2.5,,,GI_toxicity,1.0,not_applicable,,,,"14 Gy, isoflurane anesthesia (pO2~62 mmHg). FLASH ≈ CONV — no sparing observed. ISO abolishes FLASH effect by raising tissue oxygen. Explicitly stated in paper. functional_delta=0.",,,,,,,single_fraction,GI_crypt,none_observed,,,2,2,0.0,0.0,oxygen_state_sensitive_FLASH,,,,,,normoxia_ambient,NOT_APPLICABLE,neutral_no_effect,other
